epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
75,7375.33,0.29125,0.89322,1,0.25111,0.0005116,0.0005116,0.0005116
76,7471.3,0.28728,0.89355,1,0.25067,0.000505,0.000505,0.000505
77,7567.56,0.2841,0.89339,1,0.25112,0.0004984,0.0004984,0.0004984
78,7663.44,0.29051,0.89339,1,0.25072,0.0004918,0.0004918,0.0004918
79,7759.97,0.28988,0.89339,1,0.25058,0.0004852,0.0004852,0.0004852
80,7856.09,0.28131,0.89339,1,0.25044,0.0004786,0.0004786,0.0004786
81,7951.96,0.28256,0.89389,1,0.25008,0.000472,0.000472,0.000472
82,8048.12,0.28086,0.89422,1,0.24949,0.0004654,0.0004654,0.0004654
83,8143.88,0.27626,0.89439,1,0.24945,0.0004588,0.0004588,0.0004588
84,8240.13,0.27732,0.89422,1,0.24967,0.0004522,0.0004522,0.0004522
85,8335.71,0.28257,0.89389,1,0.24896,0.0004456,0.0004456,0.0004456
86,8431.37,0.27975,0.89389,1,0.24906,0.000439,0.000439,0.000439
87,8526.77,0.27931,0.89389,1,0.2486,0.0004324,0.0004324,0.0004324
88,8622.33,0.27508,0.89389,1,0.24875,0.0004258,0.0004258,0.0004258
89,8717.68,0.27262,0.89372,1,0.24862,0.0004192,0.0004192,0.0004192
90,8813.11,0.27358,0.89505,1,0.24857,0.0004126,0.0004126,0.0004126
91,8908.66,0.26859,0.89505,1,0.24861,0.000406,0.000406,0.000406
92,9004.18,0.27073,0.89505,1,0.24835,0.0003994,0.0003994,0.0003994
93,9099.31,0.26877,0.89522,1,0.24855,0.0003928,0.0003928,0.0003928
94,9194.43,0.2692,0.89522,1,0.24822,0.0003862,0.0003862,0.0003862
95,9289.58,0.26984,0.89522,1,0.24852,0.0003796,0.0003796,0.0003796
96,9385.24,0.26381,0.89522,1,0.24826,0.000373,0.000373,0.000373
97,9480.57,0.2637,0.89522,1,0.24845,0.0003664,0.0003664,0.0003664
98,9576.17,0.26491,0.89539,1,0.24798,0.0003598,0.0003598,0.0003598
99,9672.18,0.26476,0.89555,1,0.24791,0.0003532,0.0003532,0.0003532
100,9767.63,0.25878,0.89555,1,0.24763,0.0003466,0.0003466,0.0003466
101,9863.49,0.25647,0.89605,1,0.24739,0.00034,0.00034,0.00034
102,9958.96,0.26027,0.89539,1,0.24714,0.0003334,0.0003334,0.0003334
103,10054.2,0.2514,0.89589,1,0.24689,0.0003268,0.0003268,0.0003268
104,10149.6,0.25736,0.89539,1,0.2465,0.0003202,0.0003202,0.0003202
105,10244.8,0.2564,0.89572,1,0.24647,0.0003136,0.0003136,0.0003136
106,10340.3,0.24897,0.89555,1,0.24612,0.000307,0.000307,0.000307
107,10435.7,0.25397,0.89539,1,0.24646,0.0003004,0.0003004,0.0003004
108,10531.1,0.25159,0.89505,1,0.24603,0.0002938,0.0002938,0.0002938
109,10626.7,0.24729,0.89489,1,0.24563,0.0002872,0.0002872,0.0002872
110,10722.2,0.24806,0.89522,1,0.24574,0.0002806,0.0002806,0.0002806
111,10817.5,0.24687,0.89589,1,0.24526,0.000274,0.000274,0.000274
112,10913.2,0.24381,0.89555,1,0.2452,0.0002674,0.0002674,0.0002674
113,11008.6,0.24607,0.89555,1,0.24491,0.0002608,0.0002608,0.0002608
